step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
153,0,0,3,1,0.0,0.0,3.6,1.2,3.6,2.7,-2.7,0.3,NS,VERY_LIGHT,3,6,0.0,0
154,0,1,4,1,0.0,1.0,4.8,4.9,4.8,9.53,-4.6,0.93,NS,VERY_LIGHT,4,7,1.0,0
155,0,1,4,1,0.0,2.0,4.8,5.1,4.8,9.98,-1.28,0.98,NS,VERY_LIGHT,5,7,2.0,0
156,0,1,2,2,0.0,3.0,2.4,6.5,2.4,13.12,-0.3,1.32,NS,VERY_LIGHT,6,8,3.0,0
157,0,1,3,2,0.0,4.0,3.6,6.7,3.6,13.57,0.0,1.38,NS,VERY_LIGHT,7,9,4.0,0
158,0,1,3,2,0.0,5.0,3.6,6.9,3.6,9.4,-0.3,0.5,NS,VERY_LIGHT,8,9,5.0,0
159,0,1,1,2,0.0,6.0,1.2,7.1,1.2,9.6,-0.9,0.5,NS,VERY_LIGHT,9,9,6.0,0
160,0,1,1,2,0.0,7.0,1.2,7.3,1.2,8.3,-0.3,0.2,NS,VERY_LIGHT,10,7,7.0,2
161,0,2,0,2,0,9.0,0.0,11.2,0.0,16.83,-0.9,1.13,NS,EMPTY,11,7,9.0,0
162,0,2,1,2,0.0,11.0,1.2,11.6,1.2,17.48,-0.6,1.18,NS,VERY_LIGHT,12,8,11.0,0
163,0,3,2,3,0.0,13.0,2.4,16.7,3.9,28.7,0.3,2.4,NS,VERY_LIGHT,13,8,13.0,2
164,0,2,2,3,0.0,15.0,2.4,13.6,3.9,21.47,0.3,1.57,NS,VERY_LIGHT,14,8,15.0,0
165,0,2,0,3,0,17.0,0.0,14.0,0.0,17.5,0.0,0.7,EW,LIGHT,0,6,17.0,2
166,0,0,0,3,0,0.0,0.0,3.6,0.0,3.6,-0.3,-2.0,EW,VERY_LIGHT,1,6,0.0,0
