step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
115,6,0,6,3,33.0,0.0,34.8,3.6,49.3,3.6,2.9,0.0,EW,VERY_LIGHT,10,14,33.0,1
116,6,0,6,3,39.0,0.0,36.0,3.6,46.38,3.6,2.08,0.0,EW,VERY_LIGHT,11,13,39.0,1
117,6,0,6,3,45.0,0.0,37.2,3.6,43.2,3.6,1.2,0.0,EW,VERY_LIGHT,12,14,45.0,0
118,6,0,6,2,51.0,0.0,38.4,2.4,44.4,2.4,1.2,0.0,EW,VERY_LIGHT,13,12,51.0,2
119,6,0,6,1,57.0,0.0,39.6,1.2,45.6,1.2,1.2,-0.6,EW,VERY_LIGHT,14,12,57.0,0
120,6,0,6,2,63.0,0.0,40.8,2.4,46.8,2.4,1.2,-0.3,NS,HEAVY,0,11,63.0,2
121,4,0,6,2,42.0,0.0,29.6,2.4,29.6,2.4,-1.9,-0.3,NS,MEDIUM,1,11,42.0,0
122,2,1,4,3,21.0,1.0,16.0,7.3,16.0,13.43,-5.6,1.23,NS,LIGHT,2,10,22.0,2
123,0,1,4,4,0.0,2.0,4.8,8.7,4.8,18.08,-8.7,1.88,NS,VERY_LIGHT,3,11,2.0,0
124,0,1,4,4,0.0,3.0,4.8,8.9,4.8,17.02,-9.0,1.62,NS,VERY_LIGHT,4,10,3.0,1
125,0,2,4,4,0.0,5.0,4.8,12.8,4.8,25.8,-6.2,2.6,NS,VERY_LIGHT,5,10,5.0,0
126,0,3,3,4,0.0,8.0,3.6,16.9,3.6,28.9,-3.1,2.4,NS,VERY_LIGHT,6,11,8.0,0
127,0,3,4,4,0.0,11.0,4.8,17.5,4.8,28.5,0.0,2.2,NS,VERY_LIGHT,7,12,11.0,0
128,0,4,4,5,0.0,14.0,4.8,22.8,4.8,40.17,0.0,3.48,NS,VERY_LIGHT,8,13,14.0,0
129,0,5,2,6,0.0,18.0,2.4,28.3,2.4,47.67,-0.6,3.88,NS,VERY_LIGHT,9,14,18.0,0
130,0,4,4,6,0.0,22.0,4.8,25.6,6.3,36.48,0.3,2.17,NS,VERY_LIGHT,10,14,22.0,2
131,0,4,4,6,0.0,26.0,4.8,26.4,4.8,37.52,0.0,2.22,NS,VERY_LIGHT,11,14,26.0,0
132,0,5,2,6,0.0,31.0,2.4,30.9,2.4,41.02,-0.6,2.02,NS,VERY_LIGHT,12,14,31.0,0
133,0,5,4,6,0.0,36.0,4.8,31.9,7.8,36.4,0.6,0.9,NS,VERY_LIGHT,13,14,36.0,2
134,0,5,2,6,0.0,41.0,2.4,32.9,2.4,42.02,-0.6,1.82,NS,VERY_LIGHT,14,14,41.0,0
135,0,5,2,6,0.0,46.0,2.4,33.9,2.4,43.27,-0.6,1.88,EW,HEAVY,0,12,46.0,2
136,0,3,4,7,0.0,25.0,4.8,23.9,7.8,23.9,0.6,-1.75,EW,MEDIUM,1,15,25.0,0
137,0,2,4,5,0.0,15.0,4.8,16.0,4.8,16.0,0.0,-3.97,EW,LIGHT,2,13,15.0,2
138,1,1,5,5,1.0,7.0,9.7,10.9,18.82,10.9,1.82,-5.5,EW,LIGHT,3,14,8.0,0
139,2,0,6,5,3.0,0.0,14.8,6.0,30.3,6.0,3.1,-6.97,EW,VERY_LIGHT,4,13,3.0,2
140,3,0,6,5,6.0,0.0,18.9,6.0,36.52,6.0,3.52,-4.47,EW,VERY_LIGHT,5,13,6.0,0
141,4,0,6,3,10.0,0.0,23.2,3.6,46.2,3.6,4.6,-3.1,EW,VERY_LIGHT,6,13,10.0,0
142,4,0,6,3,14.0,0.0,24.0,3.6,41.88,3.6,3.58,-1.83,EW,VERY_LIGHT,7,13,14.0,0
143,6,0,6,4,20.0,0.0,32.2,4.8,53.95,4.8,4.35,-0.3,EW,VERY_LIGHT,8,14,20.0,0
144,6,0,6,3,26.0,0.0,33.4,3.6,51.52,3.6,3.62,-0.6,EW,VERY_LIGHT,9,15,26.0,0
145,6,0,6,3,32.0,0.0,34.6,3.6,48.85,3.6,2.85,0.0,EW,VERY_LIGHT,10,14,32.0,1
146,6,0,6,3,38.0,0.0,35.8,3.6,50.55,3.6,2.95,0.0,EW,VERY_LIGHT,11,13,38.0,1
147,6,0,6,2,44.0,0.0,37.0,2.4,43.0,2.4,1.2,-0.6,EW,VERY_LIGHT,12,14,44.0,0
148,6,0,6,2,50.0,0.0,38.2,2.4,44.2,2.4,1.2,-0.3,EW,VERY_LIGHT,13,12,50.0,2
149,6,0,6,1,56.0,0.0,39.4,1.2,45.4,1.2,1.2,-0.6,EW,VERY_LIGHT,14,12,56.0,0
150,6,0,6,3,62.0,0.0,40.6,3.6,46.6,3.6,1.2,0.0,NS,HEAVY,0,12,62.0,2
151,4,0,6,3,41.0,0.0,29.4,3.6,29.4,5.1,-1.9,0.3,NS,MEDIUM,1,12,41.0,0
152,2,1,4,4,20.0,1.0,15.8,8.5,15.8,16.12,-5.6,1.52,NS,LIGHT,2,11,21.0,2
153,0,1,4,4,0.0,2.0,4.8,8.7,4.8,18.08,-8.65,1.88,NS,VERY_LIGHT,3,11,2.0,0
154,0,2,4,4,0.0,4.0,4.8,12.6,4.8,23.85,-8.95,2.25,NS,VERY_LIGHT,4,10,4.0,1
155,0,3,4,4,0.0,7.0,4.8,16.7,4.8,33.08,-6.15,3.27,NS,VERY_LIGHT,5,10,7.0,0
156,0,5,2,5,0.0,11.0,2.4,25.7,2.4,47.2,-3.35,4.3,NS,VERY_LIGHT,6,11,11.0,0
157,0,4,4,5,0.0,15.0,4.8,23.0,4.8,40.88,0.0,3.57,NS,VERY_LIGHT,7,13,15.0,0
158,0,5,4,6,0.0,19.0,4.8,28.5,4.8,48.38,0.0,3.97,NS,VERY_LIGHT,8,14,19.0,0
159,0,4,2,6,0.0,23.0,2.4,25.8,2.4,37.18,-0.6,2.28,NS,VERY_LIGHT,9,14,23.0,0
160,0,4,4,6,0.0,27.0,4.8,26.6,7.8,27.73,0.6,0.23,NS,VERY_LIGHT,10,15,27.0,1
161,0,5,4,6,0.0,32.0,4.8,31.1,4.8,41.23,0.0,2.03,NS,VERY_LIGHT,11,14,32.0,1
162,0,5,2,6,0.0,37.0,2.4,32.1,2.4,36.6,-0.6,0.9,NS,VERY_LIGHT,12,14,37.0,0
163,0,5,4,6,0.0,42.0,4.8,33.1,7.8,42.23,0.6,1.83,NS,VERY_LIGHT,13,14,42.0,2
164,0,5,2,6,0.0,47.0,2.4,34.1,2.4,43.48,-0.6,1.88,NS,VERY_LIGHT,14,14,47.0,0
165,0,5,2,7,0.0,52.0,2.4,36.3,2.4,42.8,-0.6,1.3,EW,HEAVY,0,13,52.0,2
166,0,4,4,6,0.0,31.0,4.8,27.4,7.8,27.4,0.6,-1.18,EW,MEDIUM,1,15,31.0,0
167,0,2,4,5,0.0,19.0,4.8,16.8,4.8,16.8,0.0,-4.08,EW,LIGHT,2,13,19.0,2
168,2,1,6,5,2.0,8.0,14.6,11.1,29.85,11.1,3.05,-5.75,EW,LIGHT,3,15,10.0,0
169,2,0,6,5,4.0,0.0,15.0,6.0,30.75,6.0,3.15,-7.57,EW,VERY_LIGHT,4,13,4.0,2
170,2,0,6,5,6.0,0.0,15.4,6.0,28.65,6.0,2.65,-5.35,EW,VERY_LIGHT,5,13,6.0,0
171,4,0,6,3,10.0,0.0,23.2,3.6,46.2,3.6,4.6,-3.3,EW,VERY_LIGHT,6,13,10.0,0
172,6,0,6,4,16.0,0.0,31.4,4.8,52.4,4.8,4.2,-1.57,EW,VERY_LIGHT,7,14,16.0,0
173,6,0,6,4,22.0,0.0,32.6,4.8,54.6,4.8,4.4,-0.3,EW,VERY_LIGHT,8,14,22.0,0
174,6,0,6,4,28.0,0.0,33.8,4.8,56.8,4.8,4.6,-0.3,EW,VERY_LIGHT,9,15,28.0,0
175,6,0,6,3,34.0,0.0,35.0,3.6,49.75,3.6,2.95,0.0,EW,VERY_LIGHT,10,15,34.0,0
176,6,0,6,3,40.0,0.0,36.2,3.6,42.2,3.6,1.2,-0.3,EW,VERY_LIGHT,11,13,40.0,2
177,6,0,6,2,46.0,0.0,37.4,2.4,43.4,2.4,1.2,-0.6,EW,VERY_LIGHT,12,14,46.0,0
178,6,0,6,2,52.0,0.0,38.6,2.4,44.6,2.4,1.2,-0.6,EW,VERY_LIGHT,13,13,52.0,1
179,6,0,6,3,58.0,0.0,39.8,3.6,45.8,3.6,1.2,0.0,EW,VERY_LIGHT,14,13,58.0,1
180,6,0,6,3,64.0,0.0,41.0,3.6,47.0,3.6,1.2,0.0,NS,HEAVY,0,14,64.0,0
181,4,0,6,3,42.0,0.0,29.6,3.6,29.6,5.1,-1.95,0.3,NS,MEDIUM,1,12,42.0,2
182,2,0,4,4,22.0,0.0,16.2,4.8,16.2,7.8,-5.6,0.6,NS,LIGHT,2,13,22.0,0
183,0,1,4,4,0.0,1.0,4.8,8.5,4.8,14.62,-8.75,1.23,NS,VERY_LIGHT,3,11,1.0,2
184,0,3,4,5,0.0,4.0,4.8,17.3,4.8,34.42,-9.05,3.43,NS,VERY_LIGHT,4,12,4.0,0
185,0,3,4,5,0.0,7.0,4.8,17.9,4.8,35.77,-6.2,3.57,NS,VERY_LIGHT,5,11,7.0,1
186,0,5,2,6,0.0,11.0,2.4,26.9,2.4,54.52,-3.45,5.52,NS,VERY_LIGHT,6,12,11.0,0
187,0,4,4,6,0.0,15.0,4.8,24.2,4.8,43.83,0.0,3.92,NS,VERY_LIGHT,7,14,15.0,0
188,0,5,4,6,0.0,20.0,4.8,28.7,4.8,42.95,0.0,2.85,NS,VERY_LIGHT,8,14,20.0,0
189,0,5,3,6,0.0,25.0,3.6,29.7,3.6,44.45,-0.3,2.95,NS,VERY_LIGHT,9,14,25.0,0
190,0,5,3,6,0.0,30.0,3.6,30.7,5.1,35.45,0.3,0.95,NS,VERY_LIGHT,10,13,30.0,2
191,0,5,4,6,0.0,35.0,4.8,31.7,4.8,41.08,0.0,1.88,NS,VERY_LIGHT,11,14,35.0,0
192,0,5,2,6,0.0,40.0,2.4,32.7,2.4,37.7,-0.6,1.0,NS,VERY_LIGHT,12,14,40.0,0
193,0,7,3,7,0.0,46.0,3.6,42.1,3.6,57.6,0.0,3.1,NS,VERY_LIGHT,13,14,46.0,2
194,0,6,3,7,0.0,52.0,3.6,39.8,3.6,51.17,0.0,2.27,NS,VERY_LIGHT,14,15,52.0,0
195,0,6,2,7,0.0,58.0,2.4,41.0,2.4,52.62,-0.6,2.33,EW,HEAVY,0,14,58.0,1
196,0,4,4,7,0.0,37.0,4.8,29.8,7.8,29.8,0.6,-0.73,EW,MEDIUM,1,15,37.0,1
197,0,2,4,5,0.0,22.0,4.8,17.4,6.3,17.4,0.3,-6.18,EW,LIGHT,2,14,22.0,1
198,2,1,5,5,2.0,11.0,13.4,11.7,25.65,11.7,2.45,-7.02,EW,LIGHT,3,14,13.0,1
199,3,0,6,5,5.0,0.0,18.7,6.0,39.08,6.0,4.08,-8.75,EW,VERY_LIGHT,4,14,5.0,1
200,4,0,6,6,9.0,0.0,23.0,7.2,45.75,7.2,4.55,-5.65,EW,VERY_LIGHT,5,14,9.0,1
201,4,0,6,4,13.0,0.0,23.8,4.8,47.55,4.8,4.75,-3.15,EW,VERY_LIGHT,6,14,13.0,0
202,5,0,6,4,18.0,0.0,28.3,4.8,46.92,4.8,3.73,-1.72,EW,VERY_LIGHT,7,14,18.0,0
203,6,0,6,4,24.0,0.0,33.0,4.8,50.88,4.8,3.58,-0.3,EW,VERY_LIGHT,8,14,24.0,0
204,6,0,6,3,30.0,0.0,34.2,3.6,48.2,3.6,2.8,-0.9,EW,VERY_LIGHT,9,15,30.0,0
205,6,0,6,3,36.0,0.0,35.4,3.6,49.9,3.6,2.9,-0.3,EW,VERY_LIGHT,10,14,36.0,1
