step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
222,3,0,7,2,52.0,0.0,29.3,2.4,EW,VERY_LIGHT,1,14,52.0,0
223,4,0,8,2,30.0,0.0,29.6,2.4,EW,VERY_LIGHT,2,14,30.0,2
224,4,0,8,1,8.0,0.0,25.2,1.2,EW,VERY_LIGHT,3,13,8.0,1
225,5,0,8,1,13.0,0.0,29.7,1.2,EW,VERY_LIGHT,4,13,13.0,0
226,8,0,8,1,21.0,0.0,41.8,1.2,EW,VERY_LIGHT,5,14,21.0,0
227,8,0,8,1,29.0,0.0,43.4,1.2,EW,VERY_LIGHT,6,14,29.0,0
228,8,0,8,0,37.0,0,45.0,0.0,EW,EMPTY,7,13,37.0,1
229,8,0,8,0,45.0,0,46.6,0.0,EW,EMPTY,8,13,45.0,0
230,8,0,8,0,53.0,0,48.2,0.0,EW,EMPTY,9,13,53.0,0
231,8,0,8,0,61.0,0,49.8,0.0,EW,EMPTY,10,12,61.0,1
232,8,0,8,0,69.0,0,51.4,0.0,EW,EMPTY,11,11,69.0,1
233,8,0,8,0,77.0,0,53.0,0.0,EW,EMPTY,12,11,77.0,0
234,8,0,8,0,85.0,0,54.6,0.0,EW,EMPTY,13,10,85.0,1
235,8,0,8,0,93.0,0,56.2,0.0,EW,EMPTY,14,9,93.0,1
236,8,0,8,0,101.0,0,57.8,0.0,NS,HEAVY,0,9,101.0,0
237,4,0,7,0,51.0,0,32.6,0.0,NS,MEDIUM,1,8,51.0,1
238,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,2,8,0.0,0
239,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,3,8,0.0,0
240,0,0,6,0,0.0,0,7.2,0.0,NS,VERY_LIGHT,4,10,0.0,0
