step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
177,4,0,4,2,26.0,0.0,24.0,2.4,EW,VERY_LIGHT,12,10,26.0,0
178,5,0,5,1,30.0,0.0,29.5,1.2,EW,VERY_LIGHT,13,11,30.0,0
179,4,0,5,1,34.0,0.0,26.8,1.2,EW,VERY_LIGHT,14,11,34.0,0
180,5,0,6,0,38.0,0,32.3,0.0,NS,MEDIUM,0,10,38.0,2
181,2,0,6,0,18.0,0,17.8,0.0,NS,LIGHT,1,10,18.0,0
182,1,0,4,0,1.0,0,8.5,0.0,NS,LIGHT,2,8,1.0,2
183,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,3,7,0.0,1
184,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,4,7,0.0,0
185,0,0,4,0,0.0,0,4.8,0.0,NS,VERY_LIGHT,5,6,0.0,1
186,0,0,2,1,0.0,0.0,2.4,1.2,NS,VERY_LIGHT,6,7,0.0,0
187,0,0,2,1,0.0,0.0,2.4,1.2,NS,VERY_LIGHT,7,7,0.0,0
188,0,0,3,2,0.0,0.0,3.6,2.4,NS,VERY_LIGHT,8,9,0.0,0
189,0,0,2,2,0.0,0.0,2.4,2.4,NS,VERY_LIGHT,9,9,0.0,0
190,0,0,1,3,0.0,0.0,1.2,3.6,NS,VERY_LIGHT,10,8,0.0,2
191,0,0,2,3,0.0,0.0,2.4,3.6,NS,VERY_LIGHT,11,9,0.0,0
192,0,1,1,4,0.0,1.0,1.2,8.5,NS,VERY_LIGHT,12,10,1.0,0
193,0,2,2,4,0.0,3.0,2.4,12.4,NS,VERY_LIGHT,13,9,3.0,2
194,0,2,1,4,0.0,5.0,1.2,12.8,NS,VERY_LIGHT,14,9,5.0,0
195,0,3,2,4,0.0,8.0,2.4,16.9,EW,LIGHT,0,8,8.0,2
196,1,1,4,4,0.0,2.0,8.3,8.7,EW,LIGHT,1,10,2.0,0
197,1,1,3,3,1.0,1.0,7.3,7.3,EW,VERY_LIGHT,2,9,2.0,1
198,2,0,4,2,3.0,0.0,12.4,2.4,EW,VERY_LIGHT,3,10,3.0,0
199,2,0,4,2,5.0,0.0,12.8,2.4,EW,VERY_LIGHT,4,10,5.0,0
200,2,0,4,2,7.0,0.0,13.2,2.4,EW,VERY_LIGHT,5,9,7.0,1
201,3,0,4,2,10.0,0.0,17.3,2.4,EW,VERY_LIGHT,6,9,10.0,0
202,4,0,4,1,14.0,0.0,21.6,1.2,EW,VERY_LIGHT,7,9,14.0,0
203,4,0,4,1,18.0,0.0,22.4,1.2,EW,VERY_LIGHT,8,8,18.0,1
204,4,0,4,2,22.0,0.0,23.2,2.4,EW,VERY_LIGHT,9,9,22.0,0
205,4,0,4,2,26.0,0.0,24.0,2.4,EW,VERY_LIGHT,10,9,26.0,0
206,5,0,5,1,30.0,0.0,29.5,1.2,EW,VERY_LIGHT,11,10,30.0,0
207,4,0,5,0,34.0,0,26.8,0.0,EW,EMPTY,12,9,34.0,1
208,4,0,5,0,38.0,0,27.6,0.0,EW,EMPTY,13,8,38.0,1
209,5,0,6,1,42.0,0.0,33.1,1.2,EW,VERY_LIGHT,14,10,42.0,0
210,4,0,6,1,46.0,0.0,30.4,1.2,NS,MEDIUM,0,9,46.0,1
211,3,0,5,1,25.0,0.0,21.5,1.2,NS,MEDIUM,1,9,25.0,0
212,1,0,4,1,2.0,0.0,8.7,1.2,NS,LIGHT,2,8,2.0,1
213,0,1,4,1,0.0,1.0,4.8,4.9,NS,VERY_LIGHT,3,7,1.0,1
214,0,1,4,1,0.0,2.0,4.8,5.1,NS,VERY_LIGHT,4,7,2.0,0
215,0,1,4,1,0.0,3.0,4.8,5.3,NS,VERY_LIGHT,5,7,3.0,0
216,0,1,2,1,0.0,4.0,2.4,5.5,NS,VERY_LIGHT,6,7,4.0,0
217,0,1,2,1,0.0,5.0,2.4,5.7,NS,VERY_LIGHT,7,7,5.0,0
218,0,1,3,1,0.0,6.0,3.6,5.9,NS,VERY_LIGHT,8,8,7.0,0
219,0,1,3,1,0.0,7.0,3.6,6.1,NS,VERY_LIGHT,9,9,9.0,0
220,0,1,3,1,0.0,8.0,3.6,6.3,NS,VERY_LIGHT,10,7,11.0,2
221,1,1,4,1,1.0,9.0,8.5,6.5,NS,LIGHT,11,8,14.0,0
222,1,1,3,1,2.0,10.0,7.5,6.7,NS,VERY_LIGHT,12,7,17.0,1
223,2,1,4,2,4.0,11.0,12.6,8.1,NS,LIGHT,13,9,21.0,0
224,2,1,3,2,6.0,12.0,11.8,8.3,NS,LIGHT,14,8,25.0,1
225,2,1,3,3,8.0,13.0,12.2,9.7,NS,LIGHT,15,9,29.0,0
226,2,1,3,3,10.0,14.0,12.6,9.9,NS,LIGHT,16,8,33.0,1
227,2,1,2,4,12.0,15.0,11.8,11.3,NS,LIGHT,17,9,37.0,0
228,2,2,2,4,14.0,17.0,12.2,15.2,NS,LIGHT,18,9,42.0,0
229,2,2,2,4,16.0,19.0,12.6,15.6,NS,LIGHT,19,9,35.0,0
230,1,4,3,5,8.0,22.0,8.7,24.4,EW,MEDIUM,0,11,30.0,0
231,0,1,4,5,0.0,2.0,4.8,9.9,EW,LIGHT,1,11,2.0,1
