step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
137,3,0,8,4,23.0,0.0,24.7,4.8,EW,VERY_LIGHT,2,17,35.0,1
138,3,1,8,2,26.0,1.0,25.3,6.1,EW,VERY_LIGHT,3,17,40.0,0
139,5,1,8,3,31.0,2.0,33.3,7.5,EW,VERY_LIGHT,4,17,47.0,1
140,6,1,8,4,37.0,3.0,38.0,8.9,EW,LIGHT,5,17,55.0,1
141,7,1,8,4,44.0,4.0,42.9,9.1,EW,LIGHT,6,17,48.0,0
142,7,1,8,4,36.0,5.0,41.3,9.3,EW,LIGHT,7,16,41.0,1
143,6,0,8,3,27.0,0.0,36.0,3.6,EW,VERY_LIGHT,8,17,27.0,0
144,7,0,8,3,34.0,0.0,40.9,3.6,EW,VERY_LIGHT,9,17,34.0,0
145,8,0,8,4,42.0,0.0,46.0,4.8,EW,VERY_LIGHT,10,18,43.0,1
146,8,1,8,4,50.0,1.0,47.6,8.5,EW,LIGHT,11,18,53.0,1
147,8,1,8,4,58.0,2.0,49.2,8.7,EW,LIGHT,12,18,60.0,0
148,8,0,8,1,66.0,0.0,50.8,1.2,EW,VERY_LIGHT,13,17,66.0,1
149,8,0,8,1,74.0,0.0,52.4,1.2,EW,VERY_LIGHT,14,17,74.0,0
150,8,0,8,1,82.0,0.0,54.0,1.2,NS,HEAVY,0,16,82.0,2
151,4,0,8,1,40.0,0.0,31.6,1.2,NS,MEDIUM,1,16,41.0,0
152,1,0,6,1,1.0,0.0,10.9,1.2,NS,LIGHT,2,13,3.0,3
153,2,0,5,1,3.0,0.0,13.6,1.2,NS,LIGHT,3,12,3.0,1
154,2,1,6,1,5.0,1.0,15.2,4.9,NS,LIGHT,4,13,6.0,0
155,1,1,6,2,3.0,2.0,11.3,6.3,NS,LIGHT,5,15,5.0,0
156,0,1,5,2,0.0,3.0,6.0,6.5,NS,VERY_LIGHT,6,14,5.0,1
157,1,1,6,2,1.0,4.0,10.9,6.7,NS,LIGHT,7,15,9.0,0
158,2,1,7,3,3.0,5.0,16.0,8.1,NS,LIGHT,8,16,14.0,1
159,3,1,6,3,6.0,6.0,18.9,8.3,NS,LIGHT,9,15,16.0,1
160,3,2,6,3,7.0,8.0,19.1,12.2,NS,LIGHT,10,15,20.0,0
161,2,2,3,3,8.0,10.0,12.2,12.6,NS,LIGHT,11,15,24.0,0
162,2,2,5,3,10.0,12.0,15.0,13.0,NS,LIGHT,12,15,29.0,2
163,2,3,5,3,12.0,15.0,15.4,17.1,NS,LIGHT,13,15,35.0,0
164,2,3,4,3,14.0,18.0,14.6,17.7,NS,LIGHT,14,15,41.0,1
165,2,3,4,3,16.0,21.0,15.0,18.3,NS,LIGHT,15,16,47.0,0
166,3,3,4,3,18.0,24.0,18.9,18.9,NS,LIGHT,16,15,53.0,2
167,1,5,3,6,11.0,27.0,9.3,30.1,NS,LIGHT,17,16,50.0,2
168,1,3,4,6,12.0,30.0,10.7,23.7,NS,LIGHT,18,16,55.0,1
169,1,3,4,6,13.0,33.0,10.9,24.3,NS,LIGHT,19,16,61.0,0
170,1,3,5,6,14.0,36.0,12.3,24.9,EW,MEDIUM,0,15,67.0,3
171,2,0,6,6,16.0,0.0,17.4,7.2,EW,VERY_LIGHT,1,16,32.0,0
172,3,2,6,5,19.0,2.0,21.5,13.4,EW,LIGHT,2,15,21.0,1
173,2,2,7,6,5.0,4.0,16.4,15.0,EW,LIGHT,3,17,9.0,0
174,5,0,8,3,6.0,0.0,28.3,3.6,EW,VERY_LIGHT,4,17,6.0,1
175,5,0,8,3,11.0,0.0,29.3,3.6,EW,VERY_LIGHT,5,17,11.0,0
176,7,0,8,4,18.0,0.0,37.7,4.8,EW,VERY_LIGHT,6,18,18.0,0
177,7,0,8,4,25.0,0.0,39.1,4.8,EW,VERY_LIGHT,7,18,25.0,0
178,8,0,8,4,33.0,0.0,44.2,4.8,EW,VERY_LIGHT,8,18,33.0,0
179,8,0,8,5,41.0,0.0,45.8,6.0,EW,VERY_LIGHT,9,20,41.0,0
180,8,0,8,4,49.0,0.0,47.4,4.8,EW,VERY_LIGHT,10,19,49.0,1
181,8,0,8,3,57.0,0.0,49.0,3.6,EW,VERY_LIGHT,11,19,57.0,1
182,8,0,8,2,65.0,0.0,50.6,2.4,EW,VERY_LIGHT,12,19,65.0,0
183,8,0,8,2,73.0,0.0,52.2,2.4,EW,VERY_LIGHT,13,18,74.0,1
184,8,0,8,1,81.0,0.0,53.8,1.2,EW,VERY_LIGHT,14,16,81.0,2
185,8,0,8,1,89.0,0.0,55.4,1.2,NS,HEAVY,0,15,89.0,1
186,4,0,8,2,44.0,0.0,32.4,2.4,NS,MEDIUM,1,13,44.0,3
187,0,1,4,2,0.0,1.0,4.8,6.1,NS,VERY_LIGHT,2,12,1.0,1
